ReportingDate,SaleMonth,Store,Artist,Title,ISRC,UPC,Quantity,TeamPercentage,SongAlbum,CountryofSale,SongwriterRoyaltiesWithheld,EarningsUSD
2023-06-28,202304,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,PH,0,0.00048732
2023-06-28,202304,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,3,100,Song,US,0,0.00739899
2023-06-30,202304,Tidal,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,2,100,Song,PT,0,0.00327219
2023-06-28,202304,Spotify,Satanic Goose,Doomsday,QZHN52237331,196833188401,1,100,Song,NL,0,0.00547825
2023-06-23,202304,Amazon Unlimited (Streaming),Satanic Goose,Born from a Wish,QZTB82262319,197509464256,1,100,Song,US,0,0.01388908
2023-06-23,202304,Amazon Prime (Streaming),Satanic Goose,Born from a Wish,QZTB82262319,197509464256,1,100,Song,US,0,0.00213303
2023-06-23,202304,Amazon Prime (Streaming),Satanic Goose,Train To Stars,QZNWV2195939,196510008657,1,100,Song,US,0,0.00213303
2023-06-23,202304,Amazon Prime (Streaming),Satanic Goose,"Dreams are alien to Sonya, because she does not believe in coming of future.",QZES52230767,196778185312,1,100,Song,US,0,0.00213303
2023-06-23,202304,Amazon Unlimited (Streaming),Satanic Goose,"Dreams are alien to Sonya, because she does not believe in coming of future.",QZES52230767,196778185312,1,100,Song,JP,0,0.00980755
2023-06-23,202304,Amazon Prime (Streaming),Satanic Goose,"Dreams are alien to Sonya, because she does not believe in coming of future.",QZES52230767,196778185312,2,100,Song,JP,0,0.0056175
2023-06-30,202304,Apple Music,Satanic Goose,"Dreams are alien to Sonya, because she does not believe in coming of future.",QZES52230767,196778185312,3,100,Song,JP,0,0.00876815
2023-07-18,202302,Resso,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,ID,0,0.00316148
2023-07-18,202303,Resso,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,ID,0,0.00011737
2023-07-19,202304,Resso,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,ID,0,0.00010719
2023-07-29,202305,Spotify,Satanic Goose,Piece Of Desire,QZHN72397073,197746969521,1,100,Song,ES,0,0.00459549
2023-07-29,202305,Spotify,Satanic Goose,Angel Eyes,QZHN72397074,197746969521,2,100,Song,CA,0,0.00350708
2023-07-27,202305,Apple Music,Satanic Goose,Warming-up,QZNWV2193337,196510010728,1,100,Song,US,0,0.00455418
2023-07-29,202305,Spotify,Satanic Goose,33 August Of Non-Existent Summer,QZNWV2132639,196510358769,2,100,Song,CA,0,0.00350708
2023-07-21,202305,Amazon Prime (Streaming),Satanic Goose,Liminal Space,QZHN72397072,197746969521,1,100,Song,IN,0,0.0011292
2023-07-19,202305,Resso,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,ID,0,0.00192496
2023-07-21,202305,Amazon Unlimited (Streaming),Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,2,100,Song,US,0,0.00796245
2023-07-29,202305,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,GB,0,0.00161141
2023-07-29,202305,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,CA,0,0.00175354
2023-07-29,202305,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,PH,0,0.00008795
2023-07-29,202305,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,TW,0,0.00245826
2023-07-29,202305,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,IN,0,0.000402
2023-07-29,202305,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,US,0,0.002359
2023-07-21,202305,Amazon Prime (Streaming),Satanic Goose,"oh no, hate (feat. Waveform Bat)",QZNWV2195945,196510007926,1,100,Song,IN,0,0.0011292
2023-07-21,202305,Amazon Unlimited (Streaming),Satanic Goose,Wounded Animal In The Rain,QZNWV2132650,196510358769,1,100,Song,DE,0,0.00676729
2023-07-27,202305,Apple Music,Satanic Goose,Mystic Forest,QZNWV2193338,196510010728,1,100,Song,US,0,0.00455418
2023-07-21,202305,Amazon Unlimited (Streaming),Satanic Goose,"Dreams are alien to Sonya, because she does not believe in coming of future.",QZES52230767,196778185312,1,100,Song,US,0,0.0056847
2023-07-26,202306,YouTube (Red),Satanic Goose,Fear Is Little Flowers Under Your Feet,QZDA42240446,196777429240,1,100,Song,US,0,0.00610509
2023-07-26,202306,YouTube (Ads),Satanic Goose,And I Saw A Kind Of Glass Sea Mixed With Fire,QZNWV2132640,196510358769,2,100,Song,US,0,0.01094317
2023-07-26,202306,YouTube (Ads),Satanic Goose,Angel Eyes,QZHN72397074,197746969521,1,100,Song,FI,0,0.00383606
2023-07-26,202306,YouTube (Red),Satanic Goose,Warming-up,QZNWV2193337,196510010728,1,100,Song,US,0,0.00610509
2023-07-26,202306,YouTube (Red),Satanic Goose,destroyed sin,QZK6M2275619,197044541771,1,100,Song,US,0,0.00610509
2023-07-26,202306,YouTube (Ads),Satanic Goose,Deep In The Old Castle,QZNWV2193343,196510010728,1,100,Song,US,0,0.00039201
2023-07-26,202306,YouTube (Red),Satanic Goose,Liminal Space,QZHN72397072,197746969521,1,100,Song,US,0,0.00610509
2023-07-26,202306,YouTube (Ads),Satanic Goose,Liminal Space,QZHN72397072,197746969521,1,100,Song,US,0,0.00810112
2023-07-26,202306,YouTube (Red),Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,US,0,0.00610509
2023-07-26,202306,YouTube (Red),Satanic Goose,contemplation of the unknown part 1,QZNWT2247353,197147477212,1,100,Song,US,0,0.00610509
2023-07-26,202306,YouTube (Ads),Satanic Goose,contemplation of the unknown part 1,QZNWT2247353,197147477212,1,100,Song,GB,0,0.00451507
2023-07-26,202306,YouTube (Ads),Satanic Goose,Intro,QZNWV2195863,196510009166,1,100,Song,US,0,0.00500608
2023-08-24,202205,Yandex,Satanic Goose,Our Maker Is Crying,QZNWV2195864,196510009166,1,100,Song,RU,0,0.00036389
2023-08-21,202208,NetEase,Satanic Goose,Looking To The Past,QZES82233902,196835145891,1,100,Song,US,0,0.00012522
2023-08-21,202209,NetEase,Satanic Goose,Discover a part of you that you didn't know about,QZFZ72206732,196699440095,2,100,Song,US,0,0.00025045
2023-08-21,202209,NetEase,Satanic Goose,Train To Stars,QZNWV2195939,196510008657,1,100,Song,US,0,0.00012522
2023-08-21,202210,NetEase,Satanic Goose,Discover a part of you that you didn't know about,QZFZ72206732,196699440095,1,100,Song,US,0,0.00012522
2023-08-21,202212,NetEase,Satanic Goose,Winter Day,QZNWV2183615,196510010247,1,100,Song,US,0,0.00012172
2023-08-22,202212,Snap,Satanic Goose,Intro,QZNWV2195863,196510009166,1,100,Song,US,0,0.00183099
2023-08-21,202212,NetEase,Satanic Goose,Through Night,QZNWV2193340,196510010728,1,100,Song,US,0,0.00012172
2023-08-22,202212,Snap,Satanic Goose,At Snowy Night,QZRP52164365,196623934591,1,100,Song,US,0,0.00183099
2023-08-24,202301,Snap,Satanic Goose,Macedonian Lighthouse,QZNWV2195865,196510009166,2,100,Song,MK,0,0.00396818
2023-08-24,202301,NetEase,Satanic Goose,Tell Me Where Are The Black Lakes Here,QZNWV2132648,196510358769,1,100,Song,US,0,0.00012325
2023-08-24,202301,NetEase,Satanic Goose,Tell Me Where Are The Black Lakes Here,QZNWV2132648,196510358769,1,100,Song,US,0,0.00063465
2023-08-24,202301,NetEase,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,US,0,0.00012325
2023-08-24,202301,Snap,Satanic Goose,Fairy Tail,QZNWV2193342,196510010728,1,100,Song,FR,0,0.00198409
2023-08-24,202301,NetEase,Satanic Goose,Ancient Gods Lying In The Pit,QZNWV2195867,196510009166,1,100,Song,US,0,0.00063465
2023-08-24,202301,NetEase,Satanic Goose,Through Night,QZNWV2193340,196510010728,1,100,Song,US,0,0.00012325
2023-08-24,202301,NetEase,Satanic Goose,Through Night,QZNWV2193340,196510010728,1,100,Song,US,0,0.00063465
2023-08-29,202302,NetEase,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,2,100,Song,US,0,0.00024419
2023-08-29,202302,NetEase,Satanic Goose,Ancient Gods Lying In The Pit,QZNWV2195867,196510009166,4,100,Song,US,0,0.00048837
2023-08-29,202302,NetEase,Satanic Goose,Through Night,QZNWV2193340,196510010728,1,100,Song,US,0,0.00012209
2023-08-30,202303,Snap,Satanic Goose,Sad Ghost In Old Fortress,QZNWV2193341,196510010728,1,100,Song,IN,0,0.00179333
2023-08-30,202303,Snap,Satanic Goose,Changing The Painless Life,QZNWV2183784,196510008756,1,100,Song,US,0,0.00179333
2023-08-29,202304,NetEase,Satanic Goose,Dark Woods,QZNWV2183783,196510008985,1,100,Song,US,0,0.00051724
2023-08-29,202304,NetEase,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,2,100,Song,US,0,0.00103449
2023-08-29,202304,NetEase,Satanic Goose,infinite hollow,QZNWT2247355,197147477212,1,100,Song,US,0,0.00011766
2023-08-29,202304,NetEase,Satanic Goose,infinite hollow,QZNWT2247355,197147477212,4,100,Song,US,0,0.00206898
2023-08-29,202304,NetEase,Satanic Goose,Born from a Wish,QZTB82262319,197509464256,1,100,Song,US,0,0.00051724
2023-08-29,202304,NetEase,Satanic Goose,contemplation of the unknown part 1,QZNWT2247353,197147477212,1,100,Song,US,0,0.00051724
2023-08-25,202306,Spotify,Satanic Goose,Piece Of Desire,QZHN72397073,197746969521,1,100,Song,TR,0,0.00032818
2023-08-31,202306,Amazon Unlimited (Streaming),Satanic Goose,Piece Of Desire,QZHN72397073,197746969521,2,100,Song,FR,0,0.02934925
2023-08-31,202306,Amazon Unlimited (Streaming),Satanic Goose,Piece Of Desire,QZHN72397073,197746969521,6,100,Song,DE,0,0.05571674
2023-08-31,202306,Amazon Prime (Streaming),Satanic Goose,Piece Of Desire,QZHN72397073,197746969521,1,100,Song,DE,0,0.00382978
2023-08-31,202306,Apple Music,Satanic Goose,33 August Of Non-Existent Summer,QZNWV2132639,196510358769,1,100,Song,RU,0,0.00161662
2023-08-25,202306,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,NL,0,0.00243048
2023-08-25,202306,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,GB,0,0.00339796
2023-08-25,202306,Spotify,Satanic Goose,Born from a Wish,QZTB82262319,197509464256,1,100,Song,PH,0,0.00102895
2023-08-31,202306,Amazon Unlimited (Streaming),Satanic Goose,"And If Anyone Wants To Offend Them, Then The Fire Will Come Out Of The Mouth",QZNWV2132642,196510358769,1,100,Song,US,0,0.00857741
2023-08-25,202306,Spotify,Satanic Goose,non-acquaintance,QZNWT2247356,197147477212,1,100,Song,US,0,0.002413
2023-08-24,202307,YouTube (Red),Satanic Goose,And I Saw A Kind Of Glass Sea Mixed With Fire,QZNWV2132640,196510358769,1,100,Song,US,0,0.00599618
2023-08-24,202307,YouTube (Red),Satanic Goose,Divine Skulls Of Goats,QZNWV2132644,196510358769,1,100,Song,US,0,0.00599618
